"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note"
Ararat Wind Farm,Wind Turbine - Onshore,Wind - Wind,240.0,Operational,,Australia,Victoria,"2017-04-01",,POINT (143.07943056 -37.23851814),-37.23851814,143.07943056,,https://www.ararat-windfarm.com/,
Argyle Solar Farm,Solar PV - Single axis tracking,Solar - Solar,59.8,Development,,Australia,New South Wales,,,,,,,,
Armidale BESS - 150,Storage - Battery,Other - Other,150.0,Development,,Australia,New South Wales,"2026-01-05",,,,,,,
Armidale Big BESS,Storage - Battery,Other - Other,400.44,Development,,Australia,New South Wales,,,,,,,,
Aurora Solar Energy Project - Phase 1,Storage - Battery,Other - Other,140.0,Development,,Australia,South Australia,,,,,,,,
AusNet Services Deakin University Victoria Geelong PV Plant,Solar PV - Single axis tracking,Solar - Solar,7.25,Development,,Australia,Victoria,,,,,,,,
Australia Plains Solar Farm,Solar PV - Single axis tracking,Solar - Solar,200.0,Development,,Australia,South Australia,,,,,,,,
Avonlie Solar Farm,Solar PV - Single axis tracking,Solar - Solar,254.1,Operational,,Australia,New South Wales,"2023-01-11",,,,,,,
Awaba,Reciprocating Engine - Spark ignition,Other - Other,0.85,Operational,,Australia,New South Wales,,,,,,,,
Axedale Solar Farm,Solar PV - Single axis tracking,Solar - Solar,140.0,Development,,Australia,Victoria,,,,,,,,
Axedale Solar Farm,Storage - Battery,Other - Other,50.0,Development,,Australia,Victoria,,,,,,,,
Badgingarra Wind Farm,Wind Turbine - Onshore,Wind - Wind,133.2,Operational,,Australia,Western Australia,"2019-04-01",,POINT (115.3285985 -30.4038803),-30.4038803,115.3285985,,https://www.apa.com.au/our-services/other-energy-services/wind-and-solar-farms/badgingarra-wind-farm/,
Bairnsdale - OCGT1,Turbine - OCGT,Fossil - Natural Gas Pipeline,47.0,Operational,,Australia,Victoria,,,POINT (147.56392951 -37.8428595),-37.8428595,147.56392951,,,
Bairnsdale - OCGT2,Turbine - OCGT,Fossil - Natural Gas Pipeline,47.0,Operational,,Australia,Victoria,,,POINT (147.56392951 -37.8428595),-37.8428595,147.56392951,,,
Bairnsdale BESS,Storage - Battery,Other - Other,85.0,Development,,Australia,Victoria,,,,,,,,
Bakers Maison,Solar PV - Fixed,Solar - Solar,0.23,Operational,,Australia,New South Wales,,,,,,,,
Baking Board Battery Storage,Storage - Battery,Solar - Solar,400.0,Development,,Australia,Queensland,,,POINT (152.57545 -25.32239),-25.32239,152.57545,,,
Baking Board BESS (MMT),Storage - Battery,Other - Other,300.0,Development,,Australia,Queensland,,,,,,,,
Baking Board Solar Farm,Solar PV - Fixed,Solar - Solar,250.0,Development,,Australia,Queensland,,,POINT (150.5537166 -26.72121842),-26.72121842,150.5537166,,,
Baking Board Solar Farm (MMT),Solar PV - Fixed,Solar - Solar,300.0,Development,,Australia,Queensland,,,,,,,,
Baking Board Solar Farm Chinchilla,Solar PV - Single axis tracking,Solar - Solar,14.7,Operational,,Australia,Queensland,"2018-01-09",,,,,,,
Bald Hills Wind Farm,Wind Turbine - Onshore,Wind - Wind,106.6,Operational,,Australia,Victoria,"2015-05-01",,POINT (145.9277 -38.7908),-38.7908,145.9277,,https://baldhillswindfarm.com.au/,"The Bald Hills Wind Farm consists of 52 wind turbines, each with an electricity generating capacity of 2.05 megawatts (MW) giving the project a total capacity of 106.6MW. The Bald Hills Wind Farm is connected to the national electricity grid at Leongatha South by a new 27km 66kV power-line. For almost half the route the power-line overbuilds existing 22kV power-line.

The first export of electricity from BHWF occurred on 24 February 2015 and after commissioning of the last wind turbine in May 2015, the wind farm is fully operational.

Now well into its operational phase, Bald Hills Wind Farm has a permanent operations and maintenance staff of ten people, based on-site, engaged in regular maintenance activities and attending to any technical issues that may arise.
"
Baldon Wind Farm,Wind Turbine - Onshore,Wind - Wind,300.0,Development,,Australia,New South Wales,,,POINT (144.0856261 -34.8152105),-34.8152105,144.0856261,,https://baldonwindfarm.com/,
Baldon Wind Farm Stage 2,Wind Turbine - Onshore,Wind - Wind,1365.0,Development,,Australia,New South Wales,,,,,,,,
Baldon Wind Farm Stage 2 - BESS,Storage - Battery,Other - Other,500.0,Development,,Australia,New South Wales,,,,,,,,
Ballarat,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,1.58,Operational,,Australia,Victoria,,,,,,,,
Ballarat Base Hospital Plant,Reciprocating Engine - Compression ignition,Fossil - Diesel,1.6,Operational,,Australia,Victoria,,,POINT (143.846918 -37.559607),-37.559607,143.846918,,,
Ballarat Energy Storage System,Storage - Battery,Other - Other,30.0,Operational,,Australia,Victoria,,,POINT (143.919864 -37.567609),-37.567609,143.919864,,,
Banana Range Wind Farm,Wind Turbine - Onshore,Wind - Wind,450.0,Development,,Australia,Queensland,"2026-01-12",,POINT (150.3285855 -24.45939146),-24.45939146,150.3285855,,,
Bango 973 Wind Farm,Wind Turbine - Onshore,Wind - Wind,159.0,Operational,,Australia,New South Wales,"2022-09-01",,POINT (148.8291853994972 -34.5650735800725),-34.55885,148.78935,,https://www.squadronenergy.com/our-projects/bango-wind-farm,"Aemo has project listed as split under 2 DUIDs.
WTG split is estimated"
Bango 999 Wind Farm,Wind Turbine - Onshore,Wind - Wind,84.8,Operational,,Australia,New South Wales,"2022-01-09",,POINT (148.82912497571695 -34.565392030133474),-34.55885,148.78935,,https://www.squadronenergy.com/our-projects/bango-wind-farm,"Aemo has project listed as split under 2 DUIDs.
WTG split is estimated"
Banimboola,Hydro - Dam,Hydro - Water,12.2,Operational,,Australia,Victoria,,,POINT (147.45937811 -36.53439682),-36.53439682,147.45937811,,https://www.agl.com.au/about-agl/how-we-source-energy/hydroelectric-power-stations,
Banksia Solar Farm,Solar PV - Single axis tracking,Solar - Solar,60.0,Development,,Australia,Queensland,"2025-01-09",,POINT (152.368025 -25.242041),-25.242041,152.368025,,,
Bankstown Sports Club,Reciprocating Engine - Compression ignition,Fossil - Diesel,0.8,Operational,,Australia,New South Wales,,,,,,,,
Bankstown Sports Club,Reciprocating Engine - Compression ignition,Fossil - Diesel,1.34,Operational,,Australia,New South Wales,,,,,,,,
Bannaby BESS,Storage - Battery,Other - Other,700.0,Development,,Australia,New South Wales,,,,,,,,
Bannerton Solar Park,Solar PV - Single axis tracking,Solar - Solar,100.0,Operational,,Australia,Victoria,"2019-01-06",,POINT (142.74523209 -34.6898979),-34.6898979,142.74523209,,,
Barcaldine Power Station,Turbine - OCGT,Fossil - Natural Gas Pipeline,37.0,Operational,,Australia,Queensland,,,POINT (145.314186 -23.5524519999999),-23.5524519999999,145.314186,,,
Barcaldine Remote Community Solar Farm,Solar PV - Single axis tracking,Solar - Solar,20.0,Operational,,Australia,Queensland,"2017-05-20",,POINT (145.319009 -23.547418),-23.547418,145.319009,"MULTIPOLYGON (((145.31519664131153 -23.542344773828844, 145.32320397686 -23.543217274703537, 145.3218525866065 -23.553647455923695, 145.31583634580446 -23.553261128255542, 145.31619476462703 -23.549597693766426, 145.31428087559556 -23.549381641749815, 145.31519664131153 -23.542344773828844)))",https://diamondenergy.com.au/barcaldine/,"Source:
Arena Report
https://esdnews.com.au/sun-always-shines-barcy/
https://catcon.com.au/projects/power/renewables/solar/barcaldine-solar-farm/"
Barker Inlet Power Station,Reciprocating Engine - Spark ignition,Fossil - Natural Gas Pipeline,210.0,Operational,,Australia,South Australia,"2020-01-01",,POINT (138.524917 -34.804104),-34.804104,138.524917,,,
Barn Hill Wind Farm and Battery Project - Wind,Wind Turbine - Onshore,Wind - Wind,360.0,Development,,Australia,South Australia,,,POINT (138.1436 -33.584),-33.584,138.1436,,https://www.agl.com.au/about-agl/how-we-source-energy/barn-hill-wind-farm-and-battery,"Location source: GEM Wiki; 
Was previously shelved"
Baroota Pumped Hydro Project,Hydro - Dam,Hydro - Water,250.0,Development,,Australia,South Australia,"2025-01-12",,,,,,,
Barron Gorge 1,Hydro - Run of River,Hydro - Water,35.0,Operational,,Australia,Queensland,,,POINT (145.646495 -16.850199),-16.850199,145.646495,,,"Aemo has project listed as split 
under 2 DUIDs"
Barron Gorge 2,Hydro - Run of River,Hydro - Water,35.0,Operational,,Australia,Queensland,,,POINT (145.646495 -16.850199),-16.850199,145.646495,,,"Aemo has project listed as split 
under 2 DUIDs"
Barwon Solar Farm & BESS - Solar,Solar PV - Fixed,Solar - Solar,250.0,Development,,Australia,New South Wales,,,,,,,,
Bashan 1 Wind Farm,Wind Turbine - Onshore,Wind - Wind,460.2,Development,,Australia,Tasmania,,,,,,,,
Bass Offshore Wind Energy Project,Wind Turbine - Offshore,Wind - Wind,500.0,Development,,Australia,Tasmania,,,,,,,,
Bastyan,Hydro - Dam,Hydro - Water,79.9,Operational,,Australia,Tasmania,,,POINT (145.532112 -41.735983),-41.735983,145.532112,,,
Battery of the Nation - Stage 2b,Storage - Pumped hydro,Hydro - Water,750.0,Development,,Australia,Tasmania,,,,,,,,
Battery of the Nation - Stage 3b,Storage - Pumped hydro,Hydro - Water,750.0,Development,,Australia,Tasmania,,,,,,,,
Bayswater 1,Turbine - Steam Sub Critical,Fossil - Black Coal,660.0,Operational,,Australia,New South Wales,,,POINT (150.94913 -32.39527),-32.39527,150.94913,,,
Bayswater 2,Turbine - Steam Sub Critical,Fossil - Black Coal,685.0,Operational,,Australia,New South Wales,,,POINT (150.94913 -32.39527),-32.39527,150.94913,,,
Bayswater 3,Turbine - Steam Sub Critical,Fossil - Black Coal,685.0,Operational,,Australia,New South Wales,,,POINT (150.94913 -32.39527),-32.39527,150.94913,,,
Bayswater 4,Turbine - Steam Sub Critical,Fossil - Black Coal,685.0,Operational,,Australia,New South Wales,,,POINT (150.94913 -32.39527),-32.39527,150.94913,,,
Bayswood Timber Hallam VIC,Solar PV - Fixed,Solar - Solar,0.15,Operational,,Australia,Victoria,,,,,,,,
Beaconhills College Berwick,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,Victoria,,,,,,,,
Beelbee Solar Farm,Solar PV - Single axis tracking,Solar - Solar,200.0,Development,,Australia,Queensland,,,,,,,,
Belhaven Renewable Project,Storage - Battery,Other - Other,408.0,Development,,Australia,New South Wales,,,,,,,,
Bell Bay Three 1,Turbine - OCGT,Fossil - Natural Gas Pipeline,40.0,Operational,,Australia,Tasmania,,,POINT (146.9025 -41.141944),-41.141944,146.9025,,,
Bell Bay Three 2,Turbine - OCGT,Fossil - Natural Gas Pipeline,40.0,Operational,,Australia,Tasmania,,,POINT (146.9025 -41.141944),-41.141944,146.9025,,,
Bell Bay Three 3,Turbine - OCGT,Fossil - Natural Gas Pipeline,40.0,Operational,,Australia,Tasmania,,,POINT (146.9025 -41.141944),-41.141944,146.9025,,,
Bellambi Heights Renewables Project,Storage - Battery,Other - Other,408.0,Development,,Australia,New South Wales,,,,,,,,
Bellbay Wind Farm (Low Heads Wind Farm Stage 2),Wind Turbine - Onshore,Wind - Wind,144.0,Development,,Australia,Tasmania,,,,,,,,
Ben Bullen BESS,Storage - Battery,Other - Other,20.0,Development,,Australia,New South Wales,,,,,,,,
Ben Bullen Solar Farm,Solar PV - Fixed,Solar - Solar,20.0,Development,,Australia,New South Wales,,,,,,,,
Ben Bullen Wind Farm,Wind Turbine - Onshore,Wind - Wind,160.0,Development,,Australia,New South Wales,,,,,,,,
Ben More Wind Farm,Wind Turbine - Onshore,Wind - Wind,80.0,Abandoned,,Australia,Victoria,,,POINT (143.5143 -37.2751),-37.2751,143.5143,,,"Source: Gem Wiki
"
Bendemeer Renewable Energy Hub - Solar,Solar PV - Fixed,Solar - Solar,218.0,Development,,Australia,New South Wales,,,,,,,,
Bendemeer Renewable Energy Hub - Storage,Storage - Battery,Other - Other,100.0,Development,,Australia,New South Wales,,,,,,,,
Bendemeer Renewable Energy Hub - Wind,Wind Turbine - Onshore,Wind - Wind,380.0,Development,,Australia,New South Wales,,,,,,,,
Bendigo,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,0.5,Operational,,Australia,Victoria,,,,,,,,
Bennetts Creek BESS,Storage - Battery,Other - Other,100.0,Development,,Australia,Victoria,,,,,,,,
Beros Rd Wind Farm,Wind Turbine - Onshore,Wind - Wind,9.5,Operational,,Australia,Western Australia,"2019-01-01",,POINT (115.3624099 -29.9584771),-29.9584771,115.3624099,,http://blairfox.com.au/,
Berrimal Wind Farm,Wind Turbine - Onshore,Wind - Wind,72.0,Development,,Australia,Victoria,,,,,,,,
Berrybank 1 BESS - Storage,Storage - Battery,Other - Other,60.0,Development,,Australia,Victoria,,,,,,,,
Berrybank Wind Farm Stage 1,Wind Turbine - Onshore,Wind - Wind,180.6,Operational,,Australia,Victoria,"2021-04-01",,POINT (143.51101947722327 -37.930742798691284),-37.930742798691284,143.51101947722327,,https://www.berrybankwindfarm.globalpower-generation.com.au/berrybank-wind-farm-project/,
Berrybank Wind Farm Stage 2,Wind Turbine - Onshore,Wind - Wind,109.2,Operational,,Australia,Victoria,"2021-04-01",,POINT (143.51094535169443 -37.93119591526383),-37.93119591526383,143.51094535169443,,,
Beryl BESS,Storage - Battery,Other - Other,100.0,Development,,Australia,New South Wales,,,,,,,,
Beryl Solar Farm,Solar PV - Single axis tracking,Solar - Solar,98.4,Operational,,Australia,New South Wales,"2019-01-05",,POINT (149.471642 -32.357514),-32.357514,149.471642,,,
BESS Finley,Storage - Battery,Other - Other,200.0,Development,,Australia,New South Wales,,,,,,,,
BHP Olympic Dam Backup Generation,Reciprocating Engine - Compression ignition,Fossil - Diesel,30.0,Operational,,Australia,South Australia,,,,,,,,
Biala Wind Farm,Wind Turbine - Onshore,Wind - Wind,110.67,Operational,,Australia,New South Wales,"2023-12-01",,POINT (149.359417610033 -34.58644763864705),-34.58644763864705,149.359417610033,,https://bialawindfarm.com/,AEMO site name Gullen Range Wind Farm 2   
Big-T Project,Storage - Pumped hydro,Hydro - Water,400.0,Development,,Australia,Queensland,,,POINT (152.198568 -27.2519),-27.2519,152.198568,,,
Birdwood Energy Reserve,Storage - Battery,Other - Other,402.0,Development,,Australia,Victoria,,,,,,,,
Birkins Solar Farm - Hydrogen,Other - Other,Other - Other,100.0,Development,,Australia,Victoria,,,,,,,,
Birkins Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,399.0,Development,,Australia,Victoria,,,,,,,,
Birkins Solar Farm - Storage,Storage - Battery,Other - Other,199.5,Development,,Australia,Victoria,,,POINT (146.5385954 -19.19303841),-19.19303841,146.5385954,,,
Black Springs Wind Farm,Wind Turbine - Onshore,Wind - Wind,19.0,Abandoned,,Australia,New South Wales,,,POINT (149.7101 -33.841),-33.841,149.7101,,,
Blackstone BESS,Storage - Battery,Other - Other,250.0,Development,,Australia,Queensland,,,,,,,,
Blacktop BESS,Storage - Battery,Other - Other,100.0,Development,,Australia,South Australia,,,,,,,,
Blackwater Hybrid System - BESS,Storage - Battery,Other - Other,199.99,Development,,Australia,Queensland,"2027-01-08",,,,,,,
Blackwater Hybrid System - Solar,Solar PV - Single axis tracking,Solar - Solar,169.99,Development,,Australia,Queensland,"2027-01-08",,,,,,,
Blair Athol Solar Power Station,Solar PV - Fixed,Solar - Solar,60.0,Development,,Australia,Queensland,,,POINT (149.246134 -22.629039),-22.629039,149.246134,,,
Blayney Wind Farm,Wind Turbine - Onshore,Wind - Wind,9.9,Operational,,Australia,New South Wales,"2000-10-01",,POINT (149.1979416 -33.6243564),-33.6243564,149.1979416,,,
Blenheim BESS,Storage - Battery,Solar - Solar,29.25,Development,,Australia,Queensland,,,,,,,,
Blenheim Solar Farm,Solar PV - Fixed,Solar - Solar,106.0,Development,,Australia,Queensland,,,,,,,,
Blind Creek Solar Farm - BESS,Storage - Battery,Other - Other,251.1,Development,,Australia,New South Wales,,,,,,,,
Blind Creek Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,390.6,Development,,Australia,New South Wales,,,,,,,,
Blowering,Hydro - Dam,Hydro - Water,80.0,Operational,,Australia,New South Wales,,,POINT (148.246272 -35.398601),-35.398601,148.246272,,,
Blue Lake Milling Power Plant,Reciprocating Engine - Compression ignition,Fossil - Diesel,0.51,Operational,,Australia,South Australia,,,,,,,,
Blue Mackerel North Off Shore Wind Farm,Wind Turbine - Offshore,Wind - Wind,1819.0,Development,,Australia,Victoria,,,,,,,,
Bluegrass Solar Farm,Solar PV - Single axis tracking,Solar - Solar,148.0,Operational,,Australia,Queensland,"2023-01-06",,POINT (150.506 -26.68306),-26.68306,150.506,,,
Blyth BESS,Storage - Battery,Other - Other,200.0,Development,,Australia,South Australia,"2024-01-12",,,,,,,
Boco Rock Wind Farm Stage 1,Wind Turbine - Onshore,Wind - Wind,113.0,Operational,,Australia,New South Wales,"2014-11-01",,POINT (149.12672458 -36.57631059),-36.57631059,149.12672458,,https://www.bocorockwindfarm.com.au,
Boco Rock Wind Farm Stage 2,Wind Turbine - Onshore,Wind - Wind,79.5,Development,,Australia,New South Wales,,,,,,,,
Bodangora Wind Farm,Wind Turbine - Onshore,Wind - Wind,113.19,Operational,,Australia,New South Wales,"2019-02-01",,POINT (149.09979514 -32.41460016),-32.41460016,149.09979514,,,The Bulgana Green Power Hub is a combined 194MW wind farm and 20 MW battery storage facility that is owned and operated by Neoen
Boggabri solar and storage project ,Storage - Battery,Solar - Solar,9.8,Development,,Australia,New South Wales,,,,,,,,
Bogong / Mackay Hydro,Hydro - Dam,Hydro - Water,300.0,Operational,,Australia,Victoria,,,POINT (147.228034 -36.8054609999999),-36.8054609999999,147.228034,,,
Boiling Down BESS,Storage - Battery,Other - Other,260.0,Development,,Australia,New South Wales,,,,,,,,
Bolivar Power Station,Turbine - OCGT,Fossil - Natural Gas Pipeline,123.2,Operational,,Australia,South Australia,"2022-01-12",,,,,,,
Bolivar Waste Water Treatment - BESS,Storage - Battery,Other - Other,2.46,Operational,,Australia,South Australia,"2023-01-02",,POINT (138.584148 -34.771581),-34.771581,138.584148,,,
Bolivar Waste Water Treatment - Reciprocating Engine,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Biogas,7.5,Operational,,Australia,South Australia,,,POINT (138.584148 -34.771581),-34.771581,138.584148,,,
Bolivar Waste Water Treatment - Solar,Solar PV - Fixed,Solar - Solar,11.25,Operational,,Australia,South Australia,"2022-01-10",,POINT (138.584148 -34.771581),-34.771581,138.584148,,,
Boma Solar Farm,Solar PV - Single axis tracking,Solar - Solar,15.0,Development,,Australia,Queensland,,,,,,,,
Bomen Solar Farm,Solar PV - Single axis tracking,Solar - Solar,121.0,Operational,,Australia,New South Wales,"2020-01-11",,POINT (147.44424 -35.04972),-35.04972,147.44424,,,
Bonshaw Solar Farm,Solar PV - Single axis tracking,Solar - Solar,200.0,Development,,Australia,New South Wales,"2025-01-06",,,,,,,
Bookaar Solar Farm,Solar PV - Fixed,Solar - Solar,290.0,Development,,Australia,Victoria,,,,,,,,
Boomber Green Energy Hub,Wind Turbine - Onshore,Wind - Wind,1185.6,Development,,Australia,Queensland,,,,,,,,
Boomer Green Energy Hub,Other - Other,Other - Other,500.0,Development,,Australia,Queensland,,,,,,,,
Bordertown Power Station Gen,Reciprocating Engine - Compression ignition,Fossil - Diesel,5.0,Operational,,Australia,South Australia,,,,,,,,
Boronia Mini Hydro,Hydro - Dam,Hydro - Water,0.11,Operational,,Australia,Victoria,,,,,,,,
Borumba,Storage - Pumped hydro,Hydro - Water,1998.0,Development,,Australia,Queensland,"2031-01-09",,,,,,,
Boulder Creek Wind Farm,Wind Turbine - Onshore,Wind - Wind,372.0,Development,,Australia,Queensland,,,POINT (150.30544 -23.653737),-23.653737,150.30544,,,
Bouldercombe Battery project,Storage - Battery,Other - Other,50.0,Operational,,Australia,Queensland,"2023-01-11",,POINT (150.488036 -23.536419),-23.536419,150.488036,,,
Bouldercombe Solar Farm,Solar PV - Fixed,Solar - Solar,200.0,Development,,Australia,Queensland,,,POINT (150.4801995 -23.52720538),-23.52720538,150.4801995,,,
Boulka Park BESS,Storage - Battery,Other - Other,250.0,Development,,Australia,Victoria,,,,,,,,
Bowen PHES,Storage - Pumped hydro,Hydro - Water,750.0,Development,,Australia,Queensland,,,,,,,,
Bowmans Creek Wind Farm,Wind Turbine - Onshore,Wind - Wind,346.64,Development,,Australia,New South Wales,,,,,,,,
Box Hill Wind Farm,Wind Turbine - Onshore,Wind - Wind,20.0,Abandoned,,Australia,New South Wales,,,POINT (151.6701 -30.4915),-30.4915,151.6701,,,Source: Gem Wiki
Braemar 1,Turbine - OCGT,Fossil - Coal Seam Methane,188.0,Operational,,Australia,Queensland,,,POINT (150.90533692 -27.11093403),-27.11093403,150.90533692,,,
Braemar 2,Turbine - OCGT,Fossil - Coal Seam Methane,188.0,Operational,,Australia,Queensland,,,POINT (150.90533692 -27.11093403),-27.11093403,150.90533692,,,
Braemar 2 Power Station 1,Turbine - OCGT,Fossil - Coal Seam Methane,173.0,Operational,,Australia,Queensland,,,POINT (150.90487826 -27.11281127),-27.11281127,150.90487826,,,
Braemar 2 Power Station 2,Turbine - OCGT,Fossil - Coal Seam Methane,173.0,Operational,,Australia,Queensland,,,POINT (150.90487826 -27.11281127),-27.11281127,150.90487826,,,
Braemar 2 Power Station 3,Turbine - OCGT,Fossil - Coal Seam Methane,173.0,Operational,,Australia,Queensland,,,POINT (150.90487826 -27.11281127),-27.11281127,150.90487826,,,
Braemar 3,Turbine - OCGT,Fossil - Coal Seam Methane,188.0,Operational,,Australia,Queensland,,,POINT (150.90533692 -27.11093403),-27.11093403,150.90533692,,,
Breamlea Wind Turbine,Wind Turbine - Onshore,Wind - Wind,0.06,Decommissioned,,Australia,Victoria,"1987-01-11",,,,,,https://wongm.com/2011/10/breamlea-wind-turbine/,
Brendale BESS,Storage - Battery,Other - Other,200.6,Development,,Australia,Queensland,,,,,,,,
Brewongle Solar Farm,Solar PV - Fixed,Solar - Solar,,Development,,Australia,New South Wales,,,,,,,,
Bridgewater,Solar PV - Fixed,Solar - Solar,1.3,Operational,,Australia,Victoria,,,,,,,,
Bridle Track Solar Project,Solar PV - Single axis tracking,Solar - Solar,300.0,Development,,Australia,South Australia,,,,,,,,
Brigalow GT (Kogan Creek GT),Turbine - OCGT,Fossil - Natural Gas,400.0,Development,,Australia,Queensland,,,,,,,,
Broadlea Solar Farm,Solar PV - Single axis tracking,Solar - Solar,90.0,Development,,Australia,Queensland,,,POINT (148.2892025 -21.88460185),-21.88460185,148.2892025,,,
Broadmeadows,Reciprocating Engine - Spark ignition,Other - Other,6.18,Operational,,Australia,Victoria,,,,,,,,
Broadsound Solar Farm,Solar PV - Single axis tracking,Solar - Solar,368.0,Development,,Australia,Queensland,,,,,,,,
Broadwater,Turbine - Steam Sub Critical,Renewable Biomass or Waste - Biomass,38.0,Operational,,Australia,New South Wales,,,POINT (153.433481 -29.011828),-29.011828,153.433481,,,
Brocklehurst Solar Farm,Solar PV - Fixed,Solar - Solar,29.0,Development,,Australia,New South Wales,,,,,,,,
Broken Hill,Storage - Battery,Other - Other,50.0,Development,,Australia,New South Wales,"2024-01-01",,,,,,,
Broken Hill GT,Turbine - OCGT,Fossil - Diesel,50.0,Operational,,Australia,New South Wales,,,POINT (141.420334 -31.986296),-31.986296,141.420334,,,
