"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","geom_multipoint","wind_turbine_oem","wind_turbine_model","wind_turbine_type","wind_turbine_rating_mw","wind_turbine_hub_height_m","wind_turbine_qty"
Lake Bonney 3 Wind Farm,Wind Turbine - Onshore,Wind - Wind,39.0,Operational,,Australia,South Australia,,,POINT (140.39302917 -37.75049632),-37.75049632,140.3930292,,,"TBC multipoint has points for LB 1, 2 and 3","MULTIPOINT ((140.3654615 -37.7104783), (140.3686665 -37.710978), (140.3686203 -37.7128553), (140.3700687 -37.7143668), (140.3763092 -37.7145984), (140.3725803 -37.7171093), (140.3737514 -37.7188157), (140.3747222 -37.7217897), (140.3753077 -37.7235082), (140.3778039 -37.7253364), (140.4016164 -37.7256539), (140.3793448 -37.7267989), (140.3779272 -37.7287854), (140.3877899 -37.7301437), (140.3900118 -37.7316565), (140.3853928 -37.7319619), (140.3797707 -37.7323928), (140.3810379 -37.7350105), (140.3932288 -37.7365611), (140.3874744 -37.7366286), (140.3980455 -37.7369825), (140.3823806 -37.7371511), (140.3853218 -37.7387859), (140.3943797 -37.7411961), (140.3865153 -37.7415332), (140.3965749 -37.7439938), (140.3879646 -37.7444656), (140.3931009 -37.7455948), (140.3887744 -37.7465385), (140.3901598 -37.7484092), (140.4023933 -37.7498753), (140.3928239 -37.7508021), (140.3981094 -37.7512908), (140.3929944 -37.7537174), (140.4021802 -37.7565652), (140.3958716 -37.7567337), (140.3906926 -37.7573403), (140.4005604 -37.7593286), (140.3912467 -37.7604406), (140.3965962 -37.7606765), (140.3983652 -37.7625131), (140.3934633 -37.7648382), (140.3982586 -37.7671801), (140.3953814 -37.7691681), (140.4003899 -37.7726218), (140.4020949 -37.7751993), (140.4016474 -37.7382972), (140.4028217 -37.7296616), (140.4043238 -37.7328896), (140.4070549 -37.7351095), (140.4056162 -37.7400785), (140.4023087 -37.7444277), (140.4102794 -37.7466766), (140.4121033 -37.7507147), (140.4144207 -37.7524792), (140.4078976 -37.7565508), (140.4155794 -37.7590955), (140.4108802 -37.7625392), (140.4184119 -37.7626579), (140.4026619 -37.7634891), (140.4041425 -37.766288), (140.4066316 -37.7680351), (140.4097 -37.7688324), (140.4053227 -37.7702572), (140.4120604 -37.77253), (140.4067389 -37.7727335), (140.4065029 -37.7761087), (140.4132191 -37.7767023), (140.4068891 -37.779365), (140.4089276 -37.7812475), (140.4263396 -37.7817555), (140.4146997 -37.7842153), (140.4111163 -37.7856568), (140.4068033 -37.7869626), (140.4099361 -37.7879461), (140.4286887 -37.7893903), (140.4129402 -37.7897606), (140.410069 -37.7920159), (140.4150457 -37.794222), (140.4107973 -37.7952531), (140.4122236 -37.7978908), (140.4136195 -37.7997611), (140.4305702 -37.8007086), (140.4331496 -37.802435), (140.4132553 -37.8031419), (140.4154706 -37.8055636), (140.4350917 -37.8058636), (140.4333923 -37.8079495), (140.4161989 -37.8084406), (140.4344848 -37.810323), (140.4185051 -37.8104785), (140.43494 -37.8123608), (140.419021 -37.8135951), (140.4373373 -37.8143746), (140.4385814 -37.8169876), (140.4194762 -37.8169992), (140.4402808 -37.8191451), (140.440038 -37.8219737), (140.441616 -37.8247302), (140.441525 -37.8270793), (140.4421926 -37.8294761), (140.4442257 -37.832544), (140.4226196 -37.8382), (140.4460161 -37.8392545), (140.4235603 -37.8402371), (140.4472603 -37.8419865), (140.4278997 -37.8422501), (140.4241672 -37.8431128), (140.4248652 -37.8469229), (140.4057704 -37.744407), (140.419776 -37.7657904), (140.4205759 -37.7708668))",{Vestas},"{"" V90/3000""}","{""""}",{3.0},{},{13}
Lakeland Wind Farm,Wind Turbine - Onshore,Wind - Wind,73.1,Development,,Australia,Queensland,2027-01-06,,POINT (144.8621 -15.8686),-15.8686,144.8621,,,,,,,,,,
Lal Lal Wind Farm - Elaine,Wind Turbine - Onshore,Wind - Wind,83.6,Operational,,Australia,Victoria,2020-01-12,,POINT (143.9981905 -37.7574232),-37.635595,144.024737,,,,"MULTIPOINT ((143.9886422 -37.7649576), (143.9953795 -37.7649548), (143.9916681 -37.7570401), (144.0110407 -37.7607109), (144.0142171 -37.7588759), (144.0170531 -37.7559151), (144.0187804 -37.7530097), (144.0139095 -37.7521911), (144.0209616 -37.7501937), (144.0096326 -37.7439699), (144.0138021 -37.7418721), (143.9882199 -37.7492411), (143.9925979 -37.7483811), (143.9850136 -37.7511442), (143.9883311 -37.7598471), (143.9847989 -37.762464), (143.9814084 -37.7649966), (143.9775135 -37.7729743), (143.9792451 -37.7699544), (143.9816534 -37.7542189), (143.9794582 -37.7447615), (143.9754194 -37.7481412))",{Vestas},"{"" V136-3.8MW""}","{""""}",{3.8},{},{22}
Lal Lal Wind Farm - Yendon,Wind Turbine - Onshore,Wind - Wind,144.4,Operational,,Australia,Victoria,2021-01-01,,POINT (144.02309848528793 -37.63044198729328),-37.6314377,144.0207883,,,,"MULTIPOINT ((144.0066862 -37.6024342), (144.0132952 -37.6033268), (144.0309656 -37.6035307), (144.0292919 -37.6057577), (144.0260947 -37.6071856), (144.0248501 -37.6106364), (144.0198934 -37.6111548), (144.0134561 -37.6101689), (144.0138209 -37.6151493), (144.0187025 -37.6188376), (144.0264058 -37.6275137), (144.0141977 -37.650253), (144.0070671 -37.6500449), (144.0074265 -37.6466257), (144.0102911 -37.6427179), (144.017525 -37.6459419), (144.0193757 -37.6427285), (144.0135258 -37.6404623), (144.0110958 -37.636482), (144.0165889 -37.6366243), (144.0249091 -37.6352118), (144.0197968 -37.6321191), (144.0259659 -37.6311164), (144.0303218 -37.6300288), (144.0316629 -37.6335465), (144.0365231 -37.6323825), (144.045192 -37.6301308), (144.0504277 -37.6401225), (144.0544188 -37.6368176), (144.0493762 -37.6333766), (144.046458 -37.6366986), (144.0388244 -37.62434), (144.0329558 -37.6263199), (144.0243566 -37.6175798), (144.0281653 -37.6236899), (144.0290451 -37.6178518), (144.0350103 -37.621319), (144.0369844 -37.6175288))",{Vestas},"{"" V136-3.8MW""}","{""""}",{3.8},{},{38}
Lexston Wind Farm,Wind Turbine - Onshore,Wind - Wind,28.0,Abandoned,,Australia,Victoria,,,POINT (143.5143 -37.2751),,,,,Source: Gem Wiki,,{},{},{},{},{},{}
Lincoln Gap Wind Farm - stage 1,Wind Turbine - Onshore,Wind - Wind,126.0,Operational,,Australia,South Australia,2020-01-08,,POINT (137.55719185 -32.56450753),-32.56450753,137.5571919,,,TBC multipoint has both NBH adn BH,"MULTIPOINT ((137.554458 -32.5975159), (137.5430158 -32.5348021), (137.5467896 -32.5324865), (137.5302672 -32.5378774), (137.5266194 -32.5323146), (137.527746 -32.5284793), (137.5290978 -32.5238206), (137.5302136 -32.5199126), (137.5337863 -32.5228165), (137.535578 -32.5163391), (137.5321662 -32.5080789), (137.5359964 -32.5081693), (137.5398052 -32.508296), (137.5434208 -32.5120779), (137.5476372 -32.5128922), (137.5513172 -32.5142854), (137.5715732 -32.5128379), (137.5677323 -32.5146383), (137.5641596 -32.5164567), (137.5607371 -32.5186822), (137.5571108 -32.5206544), (137.5537527 -32.5185375), (137.5525513 -32.5590717), (137.5575507 -32.5622498), (137.5492358 -32.5645194), (137.5463498 -32.5692844), (137.541275 -32.570496), (137.5531733 -32.581092), (137.54444 -32.5763276), (137.5486135 -32.5785064), (137.5406206 -32.5781358), (137.5368333 -32.5828911), (137.5415432 -32.5879535), (137.5452554 -32.5890834), (137.5483346 -32.5970018))",{Senvion},{3.6M140},"{""""}",{3.6},{},{35}
Lincoln Gap Wind Farm - Stage 2,Wind Turbine - Onshore,Wind - Wind,86.4,Operational,,Australia,South Australia,2022-01-02,,POINT (137.55719185 -32.56450753),-32.56450753,137.5571919,,,,"MULTIPOINT ((137.5435964 -32.5218039), (137.5507349 -32.5291297), (137.5579118 -32.5341077), (137.5552963 -32.5383855), (137.5522981 -32.5425586), (137.5495055 -32.5460071), (137.5551204 -32.5513081), (137.5584816 -32.5707795), (137.5769426 -32.5506093), (137.5750902 -32.5570864), (137.5705731 -32.5593698), (137.5794565 -32.5594197), (137.5825076 -32.5649359), (137.5781512 -32.5653005), (137.5763123 -32.5689299), (137.5777537 -32.5755228), (137.5736718 -32.5751873), (137.5716929 -32.5795816), (137.5692595 -32.5849815), (137.5664861 -32.5889428), (137.5755539 -32.5848811), (137.5804379 -32.5868222), (137.5777269 -32.5935173), (137.57293128491878 -32.54920011093586))",{Vestas},{3.6MW},,{3.6},,{24}
Lincoln Gap Wind Farm - Stage 3,Wind Turbine - Onshore,Wind - Wind,277.2,Development,,Australia,South Australia,,,POINT (137.55719185 -32.56450753),,,,,,,,,,,,
Liverpool Range Wind Farm,Wind Turbine - Onshore,Wind - Wind,1338.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
Lotus Creek Wind Farm,Wind Turbine - Onshore,Wind - Wind,341.0,Development,,Australia,Queensland,,,POINT (149.25596 -22.3593),-22.3593,149.25596,,,,,,,,,,
Low Head Wind Farm - Stage 1,Wind Turbine - Onshore,Wind - Wind,42.0,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
Macarthur Wind Farm,Wind Turbine - Onshore,Wind - Wind,420.0,Operational,,Australia,Victoria,,,POINT (142.18436025 -38.06480431),-38.06480431,142.1843603,,,,"MULTIPOINT ((142.1825621 -38.0059534), (142.1672671 -38.007907), (142.1823229 -38.0020637), (142.1629594 -38.0081437), (142.1723257 -38.0079315), (142.1783746 -38.0081327), (142.1534816 -38.0213528), (142.1566284 -38.0129113), (142.1616709 -38.0192634), (142.1607997 -38.011356), (142.1440263 -38.0179719), (142.1391382 -38.016011), (142.1496332 -38.0177124), (142.1528776 -38.0157658), (142.1802071 -38.0164167), (142.17155 -38.0257815), (142.1806374 -38.0266157), (142.1673433 -38.0193809), (142.1739104 -38.0148098), (142.175759 -38.0240008), (142.1783435 -38.0206538), (142.1723257 -38.0202033), (142.1826093 -38.0103754), (142.1845094 -38.0142528), (142.1757471 -38.0115817), (142.1919391 -37.9947488), (142.1898781 -38.0083246), (142.1904811 -37.9983936), (142.2042934 -38.0114464), (142.1986715 -38.0011329), (142.1894908 -38.018152), (142.1860543 -37.9946625), (142.1825353 -37.9963307), (142.1929991 -37.9920025), (142.1824924 -37.9901076), (142.1926633 -38.0025532), (142.1975127 -38.0062391), (142.1863118 -37.9991038), (142.1898974 -38.0132385), (142.1944561 -37.9981679), (142.1949518 -38.0114802), (142.1885434 -37.9906488), (142.1960901 -38.0166314), (142.1866981 -38.0042212), (142.1935645 -37.985654), (142.1903459 -37.9880216), (142.18521 -37.9859922), (142.1639959 -38.0403056), (142.1707625 -38.0450931), (142.1882881 -38.0496902), (142.1861015 -38.0539811), (142.1806481 -38.0507598), (142.1795312 -38.059985), (142.1830438 -38.0566541), (142.1743427 -38.0565527), (142.1776891 -38.0532284), (142.1795173 -38.0461636), (142.1753116 -38.0492052), (142.1566144 -38.0789498), (142.1549407 -38.0745581), (142.165544 -38.0709339), (142.1869845 -38.0588472), (142.1518369 -38.0791525), (142.1855254 -38.0623393), (142.1840684 -38.0682294), (142.156314 -38.0705158), (142.1721358 -38.0694136), (142.1948949 -38.0686458), (142.1988431 -38.0664496), (142.2001177 -38.0712152), (142.2056237 -38.0694685), (142.2119323 -38.0688037), (142.2067749 -38.0652688), (142.202949 -38.0654022), (142.1963261 -38.0743444), (142.1775496 -38.0681618), (142.1631375 -38.0782066), (142.1613769 -38.0721822), (142.1720275 -38.0655948), (142.1511073 -38.0706847), (142.159361 -38.0752118), (142.1498198 -38.0749635), (142.168974 -38.074254), (142.187727 -38.0718216), (142.1582313 -38.0666076), (142.1628232 -38.064952), (142.1810622 -38.0717768), (142.1911902 -38.0707971), (142.1524087 -38.0664615), (142.1667682 -38.0619938), (142.1521802 -38.0624069), (142.1617374 -38.0604243), (142.1585027 -38.0625302), (142.1878997 -38.0662587), (142.1544118 -38.0585557), (142.177114 -38.0714728), (142.1670139 -38.0666862), (142.1694751 -38.0592417), (142.2024341 -38.076428), (142.2058673 -38.0743444), (142.2097726 -38.0724525), (142.2041217 -38.0332294), (142.2011659 -38.0352127), (142.1972552 -38.0350885), (142.214121 -38.0319111), (142.2104732 -38.0285087), (142.217139 -38.0277084), (142.2143785 -38.037038), (142.2096621 -38.037109), (142.2114956 -38.0208795), (142.2069037 -38.0243845), (142.2173611 -38.0210147), (142.2120106 -38.0250944), (142.1907611 -38.046243), (142.1836371 -38.0371732), (142.1886582 -38.0363958), (142.1956105 -38.0450255), (142.1938038 -38.0387398), (142.1839805 -38.0415781), (142.1889586 -38.0317759), (142.1833796 -38.0317421), (142.1984429 -38.0261196), (142.2041507 -38.0294434), (142.1933006 -38.0287716), (142.1993012 -38.0304575), (142.2026122 -38.0212852), (142.204759 -38.0186168), (142.1922438 -38.0229865), (142.1981211 -38.0213528), (142.1836758 -38.0213976), (142.1648949 -38.0238224), (142.1617138 -38.0253192), (142.1633779 -38.0331964), (142.1684805 -38.0342097), (142.1657339 -38.0283313), (142.1582237 -38.0304128), (142.1613566 -38.0365648), (142.1693528 -38.0145224), (142.1871502 -38.0262224), (142.190884 -38.0413511))",{Vestas},"{"" V112/3000 ""}","{""""}",{3.0},{},{140}
MacIntyre Wind Farm,Wind Turbine - Onshore,Wind - Wind,923.4,Development,,Australia,Queensland,2024-01-12,,POINT (145.463 -17.813),-17.813,145.463,,,,,,,,,,
Mallee Wind Farm,Wind Turbine - Onshore,Wind - Wind,,Development,,Australia,New South Wales,2029-01-01,,,,,,,,,,,,,,
Maroona Wind Farm,Wind Turbine - Onshore,Wind - Wind,7.2,Operational,,Australia,Victoria,,,POINT (142.8243398 -37.4187499),,,,,,"MULTIPOINT ((142.82176361259044 -37.43376070190384), (142.81372478692074 -37.43704922815837))",{Vestas},{V126/3450},"{""""}",{3.4},{},{2}
Meredith Wind Farm,Wind Turbine - Onshore,Wind - Wind,399.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Millmerran Wind Farm,Wind Turbine - Onshore,Wind - Wind,400.0,Development,,Australia,Queensland,,,POINT (151.27 -27.88),-27.88,151.27,,,,,,,,,,
Moah Creek Wind Farm,Wind Turbine - Onshore,Wind - Wind,360.0,Development,,Australia,Queensland,,,,,,,,,,,,,,,
Molonglo Wind Farm,Wind Turbine - Onshore,Wind - Wind,,Abandoned,,Australia,New South Wales,,,POINT (149.446 -35.2319),,,,,Source: Wikipedia https://en.wikipedia.org/wiki/List_of_wind_farms_in_New_South_Wales,,{},{},{},{},{},{}
Moonlight Range Wind Farm - Wind,Wind Turbine - Onshore,Wind - Wind,400.0,Development,,Australia,Queensland,,,POINT (150.0752 -23.2944),-23.2944,150.0752,,,,,,,,,,
Moorabool Wind Farm,Wind Turbine - Onshore,Wind - Wind,312.0,Operational,,Australia,Victoria,2022-01-07,,POINT (144.1627678 -37.7401943),-37.7401943,144.1627678,,https://mooraboolwindfarm.com/,,"MULTIPOINT ((144.2007745 -37.7034062), (144.1995246 -37.706192), (144.1904913 -37.6588696), (144.1937106 -37.656327), (144.1969166 -37.6537783), (144.1862057 -37.6530089), (144.1743273 -37.645243), (144.1790769 -37.6464374), (144.1840651 -37.6456688), (144.1897828 -37.6496618), (144.192896 -37.6464447), (144.1869402 -37.6424396), (144.1904879 -37.6394429), (144.1829414 -37.6358836), (144.1863986 -37.6326134), (144.1913113 -37.631281), (144.1936883 -37.6368933), (144.1970648 -37.6343991), (144.1689094 -37.733117), (144.1723264 -37.7318714), (144.1760243 -37.7303944), (144.1623302 -37.7385826), (144.1655822 -37.7358721), (144.1592466 -37.7342147), (144.1542675 -37.7319501), (144.1385985 -37.7648128), (144.1407737 -37.7628441), (144.1242648 -37.7621451), (144.1443583 -37.760311), (144.1260541 -37.759323), (144.1351684 -37.7578246), (144.1477654 -37.7575203), (144.1291475 -37.7558298), (144.1387609 -37.7553079), (144.15125 -37.7550136), (144.1663222 -37.7542443), (144.1779851 -37.7546325), (144.1316408 -37.7533687), (144.1709993 -37.7542036), (144.140957 -37.752505), (144.1540165 -37.7526229), (144.1452229 -37.7507613), (144.1692991 -37.7505766), (144.1578582 -37.7500397), (144.1480885 -37.746767), (144.1727356 -37.747947), (144.1522958 -37.7453551), (144.1647859 -37.7445481), (144.1537971 -37.7431928), (144.1719363 -37.7395255), (144.1761234 -37.7376085), (144.199995 -37.7382541), (144.1809923 -37.7367015), (144.2036644 -37.7369266), (144.1844553 -37.7357391), (144.1887529 -37.7346037), (144.192979 -37.7332574), (144.1972185 -37.7321509), (144.2015629 -37.7306684), (144.2055894 -37.7297908), (144.1837858 -37.7288571), (144.1795393 -37.7286473), (144.1884585 -37.7276801), (144.1926278 -37.7263379), (144.1968062 -37.7253471), (144.2008303 -37.724239), (144.2051399 -37.7234619), (144.200406 -37.7177107), (144.2069612 -37.7153253), (144.2012896 -37.7120187), (144.1842328 -37.680526), (144.1775617 -37.6801031), (144.1789105 -37.6766326), (144.1854213 -37.6766369), (144.1798691 -37.6734968), (144.1870507 -37.6726022), (144.1809442 -37.6700579), (144.1881847 -37.6687125), (144.1667939 -37.6665934), (144.1824798 -37.6668913), (144.1909598 -37.6652892), (144.1695519 -37.6649233), (144.1632527 -37.664463), (144.1844361 -37.6640269), (144.1946095 -37.6625023), (144.187217 -37.6614112), (144.1619751 -37.6601217), (144.1663072 -37.6596302), (144.1982794 -37.6594911), (144.1443233 -37.6566247), (144.1793828 -37.655449), (144.1832141 -37.6548529), (144.1585684 -37.6540127), (144.1466146 -37.653262), (144.163474 -37.653094), (144.1551757 -37.6505504), (144.1484233 -37.6497957), (144.1600658 -37.6501061), (144.164542 -37.6500846), (144.1507989 -37.6464617), (144.1530167 -37.6429579), (144.1706011 -37.6412705), (144.1757835 -37.6412891), (144.1796619 -37.6389435))",{Goldwind},"{""GW-136/3000 ""}",,{3.0},{100.0},{104}
Moreton Hill Wind Farm,Wind Turbine - Onshore,Wind - Wind,380.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Mortlake South Wind Farm,Wind Turbine - Onshore,Wind - Wind,157.5,Operational,,Australia,Victoria,2023-01-05,,POINT (142.85312998002595 -38.14679546196311),-38.06316932,142.6674789,,,,"MULTIPOINT ((142.826774 -38.1207606), (142.8318219 -38.1277294), (142.8360419 -38.1317652), (142.8440671 -38.1310808), (142.8431239 -38.1258105), (142.8476099 -38.1360176), (142.8404742 -38.1359789), (142.8435676 -38.1414555), (142.8149385 -38.1260423), (142.8242309 -38.1287083), (142.8216305 -38.1242196), (142.8461874 -38.1476325), (142.8566923 -38.1437413), (142.8614111 -38.1475628), (142.8524664 -38.148422), (142.8442514 -38.1591466), (142.8494539 -38.1559379), (142.8521151 -38.1614809), (142.8556535 -38.1529753), (142.8625287 -38.1537446), (142.8552278 -38.1663664), (142.8615406 -38.1692604), (142.8676281 -38.1668124), (142.8504382 -38.1701759), (142.8495301 -38.1756295), (142.8569178 -38.1764185), (142.8358208 -38.1683681), (142.8399167 -38.1636332), (142.8345326 -38.1585286), (142.826978 -38.1576701), (142.8246975 -38.1632031), (142.8202974 -38.156835), (142.8135511 -38.1552367), (142.8374186 -38.1534334))",{Nordex},"{""Nordex 4.5MW""}",,{4.5},,{35}
Mortons Lane Wind Farm,Wind Turbine - Onshore,Wind - Wind,19.5,Operational,,Australia,Victoria,,,POINT (142.45 -37.835),-37.835,142.45,,,,"MULTIPOINT ((142.4589798 -37.8341821), (142.4644438 -37.835049), (142.4529964 -37.83349), (142.4487747 -37.8390125), (142.4551998 -37.8402657), (142.4623848 -37.8401684), (142.4674808 -37.841818), (142.4704756 -37.8381975), (142.4758798 -37.8421343), (142.4719545 -37.8457742), (142.4827443 -37.8431319), (142.4824609 -37.8386208), (142.4426874 -37.8386995))",{Goldwind},{GW82/1500},"{""""}",{1.5},{},{13}
Mount Barker Community Wind Farm,Wind Turbine - Onshore,Wind - Wind,2.4,Operational,,Australia,Western Australia,2011-01-03,,POINT (117.64630276981755 -34.604930624188135),,,,https://www.mtbarkerpower.com.au/,,"MULTIPOINT ((117.64599868596355 -34.6011448033805), (117.63988177169423 -34.595769108633796), (117.64474972352367 -34.595701426805995))",{Enercon},{E53/800},{},{0.8},{73.0},{3}
Mount Emerald Wind Farm,Wind Turbine - Onshore,Wind - Wind,180.52,Operational,,Australia,Queensland,2018-01-10,,POINT (145.3817634460192 -17.182666676785608),-17.1675,145.38737,,,,"MULTIPOINT ((145.3790932 -17.1585414), (145.3877599 -17.1692781), (145.3898263 -17.1720495), (145.3925468 -17.1744282), (145.3931274 -17.1770067), (145.3886445 -17.1900066), (145.3831966 -17.1860138), (145.3713578 -17.1796206), (145.3685122 -17.1768771), (145.3660344 -17.1741725), (145.3634243 -17.1715742), (145.3633674 -17.1685525), (145.3596633 -17.1656558), (145.3584571 -17.1626819), (145.357182 -17.1597166), (145.3597715 -17.1547576), (145.3902453 -17.1554451), (145.3913514 -17.1583526), (145.392121 -17.16133), (145.3865436 -17.1576289), (145.3872537 -17.1609658), (145.3809798 -17.1648367), (145.3833073 -17.1629498), (145.3869749 -17.1641628), (145.3982584 -17.1666619), (145.3976623 -17.1692428), (145.3990939 -17.1717844), (145.3944413 -17.1712944), (145.3874952 -17.1669287), (145.4011496 -17.1871783), (145.3993219 -17.1846217), (145.3981575 -17.1819377), (145.3942167 -17.1797279), (145.3842775 -17.1720551), (145.3903973 -17.1865979), (145.3887456 -17.1814884), (145.3860586 -17.1838437), (145.3846531 -17.1794281), (145.3829835 -17.1759955), (145.3846515 -17.1887638), (145.3794344 -17.180376), (145.3769254 -17.1847149), (145.3750119 -17.182101), (145.3707764 -17.173058), (145.3691777 -17.1690373), (145.3633971 -17.1636988), (145.3675015 -17.162174), (145.3622334 -17.1582908), (145.356492 -17.1569006), (145.3647827 -17.1543445), (145.3648579 -17.1491668), (145.3666343 -17.151759), (145.3921867944858 -17.191168832521075))","{Vestas,Vestas}","{V112-3.3MW,V117-3.45MW}","{""""}","{3.3,3.45}",,"{16,37}"
Mount Fyans Wind Farm,Wind Turbine - Onshore,Wind - Wind,,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Mount Fyans Wind Farm 2.0,Wind Turbine - Onshore,Wind - Wind,750.0,Development,,Australia,Victoria,,,,,,,,,,,,,,,
Mount Hopeful Wind Farm,Wind Turbine - Onshore,Wind - Wind,370.0,Development,,Australia,Queensland,2026-01-12,,POINT (150.559414 -23.81161),-23.81161,150.559414,,,,,,,,,,
Mount James Wind Farm,Wind Turbine - Onshore,Wind - Wind,1000.0,Development,,Australia,Queensland,,,POINT (144.2033 -19.964),,,,,,,{},{},{},{},{},{}
Mount Walsh Wind Farm (Mainstream),Wind Turbine - Onshore,Wind - Wind,600.0,Development,,Australia,Queensland,,,,,,,,,,,,,,,
Mt Challenger Wind Farm,Wind Turbine - Onshore,Wind - Wind,40.0,Development,,Australia,Queensland,,,POINT (148.339502 -20.265164),-20.265164,148.339502,,,,,,,,,,
Mt Fox Wind Farm,Wind Turbine - Onshore,Wind - Wind,291.4,Development,,Australia,Queensland,,,POINT (145.885303 -18.84876),-18.84876,145.885303,,,,,,,,,,
Mt Gellibrand Wind Farm,Wind Turbine - Onshore,Wind - Wind,138.6,Operational,,Australia,Victoria,2018-01-07,,POINT (143.80194424 -38.25869085),-38.25869085,143.8019442,,,,"MULTIPOINT ((143.7547169 -38.2369555), (143.752282 -38.2406527), (143.7500537 -38.2443112), (143.7483899 -38.2480375), (143.7463071 -38.2512605), (143.7449145 -38.2558284), (143.746455 -38.2603574), (143.7535661 -38.2612187), (143.754784 -38.222409), (143.754784 -38.21761), (143.7558488 -38.2130309), (143.7559795 -38.2086716), (143.7562784 -38.2043121), (143.7605375 -38.2015671), (143.7670007 -38.2052956), (143.7659733 -38.2089652), (143.765469 -38.2127814), (143.7642735 -38.2209341), (143.7636337 -38.2254577), (143.7629472 -38.2314227), (143.762214 -38.2361107), (143.7644929 -38.2421299), (143.7635636 -38.2460213), (143.7589917 -38.248816), (143.7581558 -38.2534002), (143.7645723 -38.2547644), (143.774384 -38.2492451), (143.7734131 -38.2548432), (143.7733192 -38.2587982), (143.7713158 -38.2324462), (143.7729783 -38.2230547), (143.7732398 -38.2194445), (143.7724366 -38.2153498), (143.7727728 -38.2112549), (143.7733402 -38.2069756), (143.7966984 -38.2502385), (143.7951489 -38.2554004), (143.7967889 -38.2635371), (143.8044064 -38.2502765), (143.8115732 -38.2511528), (143.8200919 -38.2529221), (143.8257782 -38.2581961), (143.8260357 -38.2621387), (143.8204567 -38.2633517))",{Acciona},"{""AW3000 3MW""}","{""""}",{3.0},{},{44}
Mt Mercer Wind Farm,Wind Turbine - Onshore,Wind - Wind,131.2,Operational,,Australia,Victoria,,,POINT (143.871111 -37.841111),-37.841111,143.871111,,,,"MULTIPOINT ((143.8563744 -37.8119868), (143.8556361 -37.8153198), (143.8549136 -37.8188581), (143.8612917 -37.8163957), (143.8633188 -37.8197685), (143.8514183 -37.8333218), (143.8546361 -37.8305574), (143.8584397 -37.8281995), (143.8612896 -37.8252123), (143.8647971 -37.8228073), (143.8548593 -37.8410638), (143.8582937 -37.8384862), (143.8602167 -37.8357305), (143.8643343 -37.8329461), (143.8672625 -37.8292819), (143.8700664 -37.8269145), (143.8736635 -37.8252123), (143.8765239 -37.8227573), (143.8797496 -37.8201095), (143.88444 -37.8172625), (143.8917719 -37.8182694), (143.8539411 -37.8522198), (143.8569562 -37.8497777), (143.8597308 -37.8467379), (143.8624831 -37.8443144), (143.8660636 -37.8417178), (143.8689621 -37.8389286), (143.8721529 -37.83644), (143.8744653 -37.8334174), (143.8784725 -37.831201), (143.881092 -37.8283482), (143.884711 -37.8258991), (143.8883774 -37.8226783), (143.8949715 -37.8230273), (143.8542023 -37.8612579), (143.8573263 -37.8578212), (143.8600236 -37.8555143), (143.8634235 -37.8528137), (143.8670135 -37.8504307), (143.8701495 -37.8476269), (143.8733848 -37.8449781), (143.87663 -37.8420766), (143.8794683 -37.8398959), (143.882215 -37.8367259), (143.8857706 -37.8344467), (143.8612818 -37.8665975), (143.8640507 -37.8638817), (143.866995 -37.8612384), (143.8804435 -37.850194), (143.8827726 -37.8479689), (143.8718363 -37.867892), (143.8738537 -37.8649452), (143.8779986 -37.8625848), (143.883552 -37.8577965), (143.887993 -37.8549133), (143.8901406 -37.8522731), (143.8818027 -37.8688789), (143.8854718 -37.8661388), (143.8886509 -37.8638771), (143.8925214 -37.8610259), (143.8947406 -37.8585187), (143.8482751 -37.84805), (143.8968836 -37.867201), (143.8930489 -37.8698014))",{Senvion},{MM92/2050},"{""""}",{2.05},{},{64}
